lr-AdamW,step,train_loss,epoch,val_loss,val_acc,val_f1
0.0001,49,,,,,
,49,0.4477333724498749,0,,,
0.0001,99,,,,,
,99,0.3333412706851959,0,,,
0.0001,149,,,,,
,149,0.049220699816942215,0,,,
0.0001,199,,,,,
,199,0.09978484362363815,0,,,
0.0001,249,,,,,
,249,0.015848705545067787,0,,,
,262,,0,0.04220767319202423,0.9878701567649841,0.9868685603141785
9.8e-05,299,,,,,
,299,0.024923566728830338,1,,,
9.8e-05,349,,,,,
,349,0.020064352080225945,1,,,
9.8e-05,399,,,,,
,399,0.016833309084177017,1,,,
9.8e-05,449,,,,,
,449,0.017235122621059418,1,,,
9.8e-05,499,,,,,
,499,0.02682661823928356,1,,,
,525,,1,0.020106326788663864,0.9955404996871948,0.9949223399162292
9.604e-05,549,,,,,
,549,0.005918887909501791,2,,,
9.604e-05,599,,,,,
,599,0.0480814054608345,2,,,
9.604e-05,649,,,,,
,649,0.003644252195954323,2,,,
9.604e-05,699,,,,,
,699,0.009623483754694462,2,,,
9.604e-05,749,,,,,
,749,0.007495519705116749,2,,,
,788,,2,0.012686234898865223,0.9971458911895752,0.9967532753944397
9.41192e-05,799,,,,,
,799,0.005597024690359831,3,,,
9.41192e-05,849,,,,,
,849,0.0014725441578775644,3,,,
9.41192e-05,899,,,,,
,899,0.00239994446747005,3,,,
9.41192e-05,949,,,,,
,949,0.003636316629126668,3,,,
9.41192e-05,999,,,,,
,999,0.0034833457320928574,3,,,
9.41192e-05,1049,,,,,
,1049,0.005655777174979448,3,,,
,1051,,3,0.010609710589051247,0.9971458911895752,0.9969041347503662
9.2236816e-05,1099,,,,,
,1099,0.0020448865834623575,4,,,
9.2236816e-05,1149,,,,,
,1149,0.013420861214399338,4,,,
9.2236816e-05,1199,,,,,
,1199,0.005895720329135656,4,,,
9.2236816e-05,1249,,,,,
,1249,0.001851633656769991,4,,,
9.2236816e-05,1299,,,,,
,1299,0.0025790780782699585,4,,,
,1314,,4,0.010841215960681438,0.9973242878913879,0.9970289468765259
9.039207968e-05,1349,,,,,
